,Atlas,Labels,SWI_Density,ToF_Density,RV,HR,Corr
157,Schaefer,LH_DefaultA_pCunPCC_5,0.0785246845062186,0.03593099171795496,0.358221425849857,0.256704543446295,0.307462984648076
7,Schaefer,LH_VisCent_ExStr_7,0.04034647672811401,0.0014816502753262207,0.315030834084149,0.299149422532074,0.3070901283081115
306,Schaefer,RH_SalVentAttnB_PFCl_2,0.03492101790295641,0.028445196451235645,0.326930450569977,0.285944445990714,0.30643744828034547
203,Schaefer,RH_VisCent_ExStr_4,0.032345483406683875,0.008567182126865592,0.32628971039929,0.285574429071727,0.30593206973550846
62,Schaefer,LH_DorsAttnA_TempOcc_4,0.024283502291667904,0.0011741473651297504,0.321389430435711,0.287073522667421,0.304231476551566
36,Schaefer,LH_SomMotA_13,0.008852754864427778,0.02800361210549319,0.317028018464365,0.290848093893204,0.3039380561787845
176,Schaefer,LH_DefaultB_PFCd_3,0.01909536348685932,0.01881372087202777,0.324633314543833,0.28293781740853,0.3037855659761815
341,Schaefer,RH_ContB_PFCld_1,0.03699929804076725,0.02929376450904667,0.319859114433731,0.286871108407182,0.3033651114204565
23,Schaefer,LH_VisPeri_ExStrSup_5,0.060195119738578794,0.013268292188644408,0.30905126813936,0.297046672874134,0.303048970506747
26,Schaefer,LH_SomMotA_3,0.05284552630924043,0.04529616502778871,0.313190041738975,0.291258085793407,0.30222406376619104
16,Schaefer,LH_VisPeri_ExStrInf_5,0.09957253829259233,0.06336434227750473,0.334134062783054,0.269766285207735,0.3019501739953945
227,Schaefer,RH_SomMotA_5,0.03512449058083197,0.019880588709687192,0.320241563779943,0.283525189521487,0.30188337665071496
10,Schaefer,LH_VisCent_ExStr_10,0.04445713174133795,0.030141119611602166,0.298958254064049,0.304261211166442,0.3016097326152455
365,Schaefer,RH_DefaultA_pCunPCC_4,0.02708034329664181,0.010491391260396032,0.344332378913566,0.258158884944409,0.30124563192898746
224,Schaefer,RH_SomMotA_2,0.04192484999830658,0.07185233754886164,0.311374511609684,0.290540129315817,0.3009573204627505
141,Schaefer,LH_ContB_PFClv_3,0.018338992833336697,0.015869094752058197,0.314344451874826,0.286584323478446,0.30046438767663597
305,Schaefer,RH_SalVentAttnB_PFCl_1,0.027939287593859267,0.026240276801327803,0.323900621120906,0.275678872555414,0.29978974683816
273,Schaefer,RH_DorsAttnB_PostC_1,0.03295706388009481,0.029631121468938086,0.332770170974589,0.266501050529814,0.29963561075220146
246,Schaefer,RH_SomMotB_S2_1,0.06927648850348818,0.06456240830050797,0.336334187575067,0.262346217160648,0.2993402023678575
32,Schaefer,LH_SomMotA_9,0.01747284212908825,0.03330600394734314,0.309786288661055,0.288715525565759,0.299250907113407
34,Schaefer,LH_SomMotA_11,0.029649105656989003,0.0428869328201925,0.299837003940185,0.298649144186788,0.2992430740634865
222,Schaefer,RH_VisPeri_ExStrSup_4,0.03945647708046964,0.09761782556702762,0.298011675324701,0.299990901122332,0.2990012882235165
287,Schaefer,RH_SalVentAttnA_PrC_1,0.03316478163185643,0.03978286574526531,0.328965410836897,0.267234301059672,0.2980998559482845
89,Schaefer,LH_SalVentAttnA_Ins_2,0.04040296757998674,0.007741251037172649,0.365968769876164,0.229727316250785,0.2978480430634745
55,Schaefer,LH_SomMotB_Cent_2,0.01397229996907651,0.014339992111951262,0.308079913299983,0.28740330866579,0.29774161098288654
14,Schaefer,LH_VisPeri_ExStrInf_3,0.07008235374247873,0.009185935673001525,0.312064214703513,0.28264871804346,0.29735646637348645
202,Schaefer,RH_VisCent_ExStr_3,0.06313851576931072,0.0067188216549045636,0.314738454805395,0.279846567155792,0.2972925109805935
266,Schaefer,RH_DorsAttnA_SPL_3,0.07228057391017023,0.14046643609113066,0.305321730297798,0.289114774437039,0.2972182523674185
298,Schaefer,RH_SalVentAttnA_FrMed_2,0.025223080486786075,0.02212968392343056,0.341480187908701,0.252428009945298,0.29695409892699953
343,Schaefer,RH_ContB_PFCld_3,0.04681215061430345,0.04852374671844014,0.337203180940271,0.256069425797776,0.29663630336902347
102,Schaefer,LH_SalVentAttnB_PFCl_3,0.018445887289304828,0.009927686809295386,0.315623376482594,0.277352712708928,0.29648804459576095
199,Schaefer,LH_TempPar_6,0.026022660832001467,0.003552909412487285,0.332766097401941,0.25997518284443,0.2963706401231855
37,Schaefer,LH_SomMotA_14,0.019460300287456378,0.07481404304081667,0.297288364161085,0.294547905688031,0.295918134924558
288,Schaefer,RH_SalVentAttnA_Ins_1,0.07665504938443238,0.06150230644054191,0.364555512002268,0.227080922958399,0.2958182174803335
143,Schaefer,LH_ContC_pCun_1,0.05399291722043868,0.011113296202834575,0.309803950785451,0.281662739884348,0.2957333453348995
200,Schaefer,RH_VisCent_ExStr_1,0.06066643551621639,0.0036413602216143004,0.317884772907162,0.273274895133849,0.29557983402050547
393,Schaefer,RH_TempPar_4,0.03439024249091745,0.025853657498955726,0.326664956196347,0.264446476770623,0.295555716483485
281,Schaefer,RH_DorsAttnB_FEF_1,0.02455070516780803,0.040275993291288614,0.317713189315521,0.272823673343575,0.295268431329548
220,Schaefer,RH_VisPeri_ExStrSup_2,0.031300811767578124,0.023170730819304784,0.302437420382175,0.288046974664548,0.2952421975233615
230,Schaefer,RH_SomMotA_8,0.012411602943606631,0.03795641285956964,0.30450655309122,0.285925862141412,0.295216207616316
156,Schaefer,LH_DefaultA_pCunPCC_4,0.040159796460949145,0.020710680505325055,0.336220702717305,0.253192169843481,0.29470643628039295
278,Schaefer,RH_DorsAttnB_PostC_6,0.042168673097967624,0.032667253151476144,0.297841536536899,0.289499683671044,0.2936706101039715
145,Schaefer,LH_ContC_pCun_3,0.05076783898252028,0.015537488156998598,0.3106299995702,0.276249898560891,0.2934399490655455
291,Schaefer,RH_SalVentAttnA_Ins_4,0.049626390239751406,0.04624277241312699,0.335388288735026,0.250757555539921,0.2930729221374735
396,Schaefer,RH_TempPar_7,0.04456163314548699,0.010810810408076724,0.328075384491521,0.257447770825797,0.292761577658659
398,Schaefer,RH_TempPar_9,0.05781849477496849,0.016837934325189156,0.328203312785048,0.257203506765878,0.292703409775463
1,Schaefer,LH_VisCent_ExStr_2,0.053074542922732976,0.004122294590506755,0.312428766719937,0.272593717514622,0.2925112421172795
41,Schaefer,LH_SomMotA_18,0.013696059555961536,0.07110693896046051,0.289776140057062,0.295057863124011,0.2924170015905365
9,Schaefer,LH_VisCent_ExStr_9,0.03813122483101529,0.005496392761107902,0.293896668649789,0.289524845874592,0.2917107572621905
214,Schaefer,RH_VisPeri_ExStrInf_3,0.06380130632258044,0.010410469570537893,0.30579204514511,0.277285605972565,0.2915388255588375
369,Schaefer,RH_DefaultA_PFCm_3,0.02690669656213787,0.010404567929014327,0.331348352642781,0.251476592118222,0.2914124723805015
29,Schaefer,LH_SomMotA_6,0.0542594528608564,0.02067868422338928,0.303939666262247,0.278347724833183,0.291143695547715
63,Schaefer,LH_DorsAttnA_ParOcc_1,0.032543552752052035,0.0038327524704592567,0.307962646512174,0.27428142348647,0.291122034999322
360,Schaefer,RH_DefaultA_PFCd_1,0.022720495270779198,0.012046036736306468,0.299453899465063,0.282613581723614,0.2910337405943385
399,Schaefer,RH_TempPar_10,0.048644984140992165,0.031165310533510314,0.327715171412923,0.254168020924679,0.290941596168801
198,Schaefer,LH_TempPar_5,0.03112787913880954,0.0066702598242799225,0.324140490123946,0.257661390837112,0.290900940480529
163,Schaefer,LH_DefaultA_PFCm_4,0.03866515259525573,0.040886744279270026,0.324664277306599,0.255778060848127,0.290221169077363
271,Schaefer,RH_DorsAttnA_SPL_8,0.04802419918105584,0.0858385295195635,0.297909139259458,0.281539324508326,0.289724231883892
100,Schaefer,LH_SalVentAttnB_PFCl_1,0.014634145796298981,0.008790649985894562,0.31012812552,0.269172872457135,0.28965049898856754
296,Schaefer,RH_SalVentAttnA_ParMed_1,0.03614982417119401,0.014663181799863065,0.330416847000159,0.248063848845912,0.2892403479230355
292,Schaefer,RH_SalVentAttnA_FrOper_1,0.041559690168421516,0.016367136647826748,0.326368399674325,0.251479926740267,0.28892416320729597
219,Schaefer,RH_VisPeri_ExStrSup_1,0.06664164848052538,0.021313320054457737,0.306115996611852,0.270957011036713,0.28853650382428253
216,Schaefer,RH_VisPeri_ExStrInf_5,0.0692368191645442,0.0699112033857728,0.333200436274066,0.243816473071843,0.2885084546729545
299,Schaefer,RH_SalVentAttnA_ParMed_3,0.0664212277287957,0.03696885869000693,0.313847747738385,0.26316563258781,0.2885066901630975
77,Schaefer,LH_DorsAttnB_PostC_6,0.022749963537817112,0.016474111495833648,0.284031381118101,0.29232356284683,0.28817747198246546
349,Schaefer,RH_ContB_PFCmp_1,0.047678516998168934,0.016088744603007674,0.357299294262831,0.21882806984194,0.28806368205238553
342,Schaefer,RH_ContB_PFCld_2,0.03103787153101242,0.04320958595644261,0.326541299843408,0.248715160530513,0.2876282301869605
232,Schaefer,RH_SomMotA_10,0.049538731652220294,0.0544673300546068,0.291789907598799,0.282957225681302,0.28737356664005054
22,Schaefer,LH_VisPeri_ExStrSup_4,0.04438721240492341,0.048931978272725336,0.291628846950996,0.283068685414941,0.2873487661829685
70,Schaefer,LH_DorsAttnA_SPL_6,0.03776154372141446,0.04605670231701759,0.29642272737325,0.277475463221523,0.2869490952973865
105,Schaefer,LH_SalVentAttnB_Ins_3,0.05012718665819227,0.05835702325120294,0.339833021765402,0.232708274184091,0.2862706479747465
209,Schaefer,RH_VisCent_ExStr_9,0.036909128685968115,0.021152600052609907,0.27965518861054,0.292738046907389,0.28619661775896454
210,Schaefer,RH_VisCent_ExStr_10,0.03817151021410916,0.04592022285469051,0.282336056677675,0.28797934811099,0.28515770239433247
